device,precision,recall,f1
Amazon Echo,0.9954303122619954,0.998472116119175,0.9969488939740656
Android Phone 2,0.1773049645390071,1.0,0.30120481927710846
Belkin Wemo switch,0.6498516320474778,0.9260042283298098,0.7637314734088928
Belkin wemo motion sensor,0.880225988700565,0.5238735709482178,0.6568296795952783
Dropcam,0.9994731296101159,1.0,0.9997364953886693
HP Printer,0.9978802331743508,0.9686213991769548,0.9830331506134169
Laptop,0.967741935483871,0.7894736842105263,0.8695652173913043
Netatmo Welcome,1.0,0.9995921696574225,0.9997960432388334
Netatmo weather station,0.9991532599491956,1.0,0.9995764506565015
PIX-STAR Photo-frame,0.8141985579589573,0.9972826086956522,0.8964885496183206
Samsung Galaxy Tab,0.9988518943742825,0.5059610351846467,0.671685002895194
Samsung SmartCam,1.0,0.9979838709677419,0.9989909182643795
Smart Things,1.0,1.0,1.0
TP-Link Day Night Cloud camera,1.0,1.0,1.0
TP-Link Smart plug,0.4936318023928985,1.0,0.6609819121447028
TPLink Router Bridge LAN,1.0,0.9996405463695184,0.9998202408772245
Triby Speaker,1.0,1.0,1.0
Withings Smart Baby Monitor,1.0,1.0,1.0
