device,precision,recall,f1
Amazon Echo,0.995085995085995,1.0,0.9975369458128078
Android Phone 2,0.5654450261780105,0.8503937007874016,0.6792452830188679
Belkin Wemo switch,0.9848197343453511,1.0,0.9923518164435946
Belkin wemo motion sensor,1.0,1.0,1.0
Dropcam,1.0,1.0,1.0
HP Printer,0.9576271186440678,1.0,0.9783549783549783
Laptop,0.9676470588235294,0.9474442044636429,0.9574390687522736
Netatmo Welcome,1.0,0.9961240310077519,0.9980582524271845
Netatmo weather station,0.875,1.0,0.9333333333333333
PIX-STAR Photo-frame,0.7333333333333333,1.0,0.8461538461538461
Samsung Galaxy Tab,0.9439252336448598,0.4590909090909091,0.617737003058104
Samsung SmartCam,0.9989754098360656,1.0,0.9994874423372629
Smart Things,1.0,1.0,1.0
TP-Link Day Night Cloud camera,0.9625,1.0,0.9808917197452229
TP-Link Smart plug,0.6111111111111112,0.9166666666666666,0.7333333333333333
TPLink Router Bridge LAN,0.9978044249282216,0.9991544055470996,0.9984789589318912
Triby Speaker,0.7076923076923077,1.0,0.8288288288288288
Withings Smart Baby Monitor,1.0,1.0,1.0
