device,precision,recall,f1
Amazon Echo,0.9822064056939501,0.989247311827957,0.9857142857142858
Android Phone 2,0.6923076923076923,1.0,0.8181818181818182
Belkin Wemo switch,0.6793893129770993,0.8640776699029126,0.7606837606837606
Belkin wemo motion sensor,0.8333333333333334,0.6696428571428571,0.7425742574257426
Dropcam,1.0,1.0,1.0
HP Printer,0.8761904761904762,0.8932038834951457,0.8846153846153846
Laptop,0.9333333333333333,0.875,0.9032258064516129
Netatmo Welcome,1.0,1.0,1.0
Netatmo weather station,1.0,1.0,1.0
PIX-STAR Photo-frame,0.59375,0.5135135135135135,0.5507246376811594
Samsung Galaxy Tab,0.7291666666666666,0.603448275862069,0.660377358490566
Samsung SmartCam,1.0,0.9933333333333333,0.9966555183946488
Smart Things,1.0,1.0,1.0
TP-Link Day Night Cloud camera,0.9622641509433962,0.9807692307692307,0.9714285714285714
TP-Link Smart plug,0.8888888888888888,1.0,0.9411764705882353
TPLink Router Bridge LAN,1.0,1.0,1.0
Triby Speaker,0.9166666666666666,0.9565217391304348,0.9361702127659575
Withings Smart Baby Monitor,1.0,1.0,1.0
