device,precision,recall,f1
Amazon Echo,0.9987639060568603,0.9975308641975309,0.9981470043236566
Android Phone 2,0.625,0.8267716535433071,0.711864406779661
Belkin Wemo switch,0.9885714285714285,1.0,0.9942528735632183
Belkin wemo motion sensor,1.0,1.0,1.0
Dropcam,1.0,1.0,1.0
HP Printer,0.9576271186440678,1.0,0.9783549783549783
Laptop,0.9656543745480839,0.9618293122074181,0.9637380479884539
Netatmo Welcome,0.9980582524271845,0.9961240310077519,0.997090203685742
Netatmo weather station,1.0,1.0,1.0
PIX-STAR Photo-frame,0.8790322580645161,1.0,0.9356223175965666
Samsung Galaxy Tab,0.9392523364485982,0.45681818181818185,0.6146788990825688
Samsung SmartCam,0.9984631147540983,1.0,0.999230966418867
Smart Things,1.0,1.0,1.0
TP-Link Day Night Cloud camera,0.9808917197452229,1.0,0.9903536977491961
TP-Link Smart plug,0.2857142857142857,1.0,0.4444444444444444
TPLink Router Bridge LAN,0.9960394370944636,0.9994926433282597,0.9977630523783396
Triby Speaker,0.8761904761904762,1.0,0.934010152284264
Withings Smart Baby Monitor,1.0,1.0,1.0
